Year,Region,Sector,Electricity Consumption (MWh),Name,Date_Object,Periodicity
2017,Southern,Others,1568171.892,Others : Southern,1/1/2017,Annually
2018,Western,Industrial,7247292.721,Industrial : Western,1/1/2018,Annually
2018,Total,Industrial,51147523.33,Industrial : Total,1/1/2018,Annually
2018,Southern,Commercial,4909890.899,Commercial : Southern,1/1/2018,Annually
2018,Southern,Agricultural,120928.4449,Agricultural : Southern,1/1/2018,Annually
2018,Central,Others,5191912.628,Others : Central,1/1/2018,Annually
2019,Central,Residential,42064993.24,Residential : Central,1/1/2019,Annually
2019,Western,Residential,44575740.43,Residential : Western,1/1/2019,Annually
2019,Southern,Industrial,557493.2079,Industrial : Southern,1/1/2019,Annually
2019,Total,Industrial,49435662.38,Industrial : Total,1/1/2019,Annually
2019,Central,Governmental,10998732.81,Governmental : Central,1/1/2019,Annually
2019,Eastern,Governmental,9713433.684,Governmental : Eastern,1/1/2019,Annually
2019,Southern,Governmental,5121859.74,Governmental : Southern,1/1/2019,Annually
2019,Eastern,Commercial,9156217.943,Commercial : Eastern,1/1/2019,Annually
2019,Southern,Commercial,4716818.881,Commercial : Southern,1/1/2019,Annually
2019,Total,Commercial,46820476.94,Commercial : Total,1/1/2019,Annually
2019,Central,Others,4522209.582,Others : Central,1/1/2019,Annually
2019,Eastern,Others,2307050.864,Others : Eastern,1/1/2019,Annually
2019,Western,Others,3762212.205,Others : Western,1/1/2019,Annually
2019,Central,Total,83988282.38,Total : Central,1/1/2019,Annually
2019,Southern,Total,28940809.39,Total : Southern,1/1/2019,Annually
2019,Total,Total,279677533.1,Total : Total,1/1/2019,Annually
2020,Total,Commercial,41520234.2,Commercial : Total,1/1/2020,Annually
2020,Southern,Agricultural,113567.2761,Agricultural : Southern,1/1/2020,Annually
2020,Central,Total,86422189.28,Total : Central,1/1/2020,Annually
2021,Southern,Governmental,5454684.941,Governmental : Southern,1/1/2021,Annually
2022,Eastern,Industrial,35777149.48,Industrial : Eastern,1/1/2022,Annually
2022,Eastern,Governmental,7891832.189,Governmental : Eastern,1/1/2022,Annually
2022,Western,Agricultural,923028.1091,Agricultural : Western,1/1/2022,Annually
2022,Eastern,Others,2298074.17,Others : Eastern,1/1/2022,Annually
2005,Western,Residential,29787193,Residential : Western,1/1/2005,Annually
2005,Total,Residential,78303913,Residential : Total,1/1/2005,Annually
2005,Eastern,Commercial,4214045,Commercial : Eastern,1/1/2005,Annually
2005,Western,Commercial,5397497,Commercial : Western,1/1/2005,Annually
2005,Total,Agricultural,3164259,Agricultural : Total,1/1/2005,Annually
2005,Southern,Others,634697,Others : Southern,1/1/2005,Annually
2005,Western,Total,44823960,Total : Western,1/1/2005,Annually
2006,Eastern,Residential,16981861,Residential : Eastern,1/1/2006,Annually
2006,Central,Industrial,3269142,Industrial : Central,1/1/2006,Annually
2006,Total,Industrial,32548478,Industrial : Total,1/1/2006,Annually
2006,Western,Commercial,5625673,Commercial : Western,1/1/2006,Annually
2006,Central,Agricultural,2476127,Agricultural : Central,1/1/2006,Annually
2006,Total,Others,6115456,Others : Total,1/1/2006,Annually
2006,Southern,Total,12338786,Total : Southern,1/1/2006,Annually
2006,Total,Total,163151087,Total : Total,1/1/2006,Annually
2007,Southern,Residential,9952665,Residential : Southern,1/1/2007,Annually
2007,Eastern,Industrial,23466665,Industrial : Eastern,1/1/2007,Annually
2007,Central,Governmental,7584420,Governmental : Central,1/1/2007,Annually
2007,Total,Governmental,19801930,Governmental : Total,1/1/2007,Annually
2007,Central,Agricultural,2119140,Agricultural : Central,1/1/2007,Annually
2007,Total,Agricultural,3167868,Agricultural : Total,1/1/2007,Annually
2007,Western,Others,2237958,Others : Western,1/1/2007,Annually
2007,Central,Total,52096082,Total : Central,1/1/2007,Annually
2007,Southern,Total,13019780,Total : Southern,1/1/2007,Annually
2007,Total,Total,169780321,Total : Total,1/1/2007,Annually
2008,Eastern,Residential,18569845,Residential : Eastern,1/1/2008,Annually
2008,Western,Residential,35961379,Residential : Western,1/1/2008,Annually
2008,Central,Industrial,3503729,Industrial : Central,1/1/2008,Annually
2008,Total,Industrial,32420536,Industrial : Total,1/1/2008,Annually
2008,Western,Commercial,7367438,Commercial : Western,1/1/2008,Annually
2008,Eastern,Agricultural,572546,Agricultural : Eastern,1/1/2008,Annually
2008,Total,Agricultural,3461267,Agricultural : Total,1/1/2008,Annually
2009,Southern,Residential,11459478,Residential : Southern,1/1/2009,Annually
2009,Total,Residential,100832380,Residential : Total,1/1/2009,Annually
2009,Central,Commercial,8002703,Commercial : Central,1/1/2009,Annually
2009,Southern,Commercial,1595891,Commercial : Southern,1/1/2009,Annually
2009,Eastern,Agricultural,581992,Agricultural : Eastern,1/1/2009,Annually
2009,Total,Agricultural,5061979,Agricultural : Total,1/1/2009,Annually
2009,Eastern,Others,1248038,Others : Eastern,1/1/2009,Annually
2009,Eastern,Total,59808797,Total : Eastern,1/1/2009,Annually
2010,Central,Residential,34836233,Residential : Central,1/1/2010,Annually
2010,Central,Industrial,4506940,Industrial : Central,1/1/2010,Annually
2010,Southern,Industrial,120751,Industrial : Southern,1/1/2010,Annually
2010,Central,Governmental,9218486,Governmental : Central,1/1/2010,Annually
2010,Western,Governmental,6651198,Governmental : Western,1/1/2010,Annually
2010,Eastern,Commercial,6581620,Commercial : Eastern,1/1/2010,Annually
2010,Southern,Commercial,2243556,Commercial : Southern,1/1/2010,Annually
2010,Eastern,Agricultural,615439,Agricultural : Eastern,1/1/2010,Annually
2010,Southern,Agricultural,69172,Agricultural : Southern,1/1/2010,Annually
2010,Total,Agricultural,3619657,Agricultural : Total,1/1/2010,Annually
2010,Total,Others,7622766.5,Others : Total,1/1/2010,Annually
2010,Central,Total,63745831,Total : Central,1/1/2010,Annually
2010,Southern,Total,17603184.1,Total : Southern,1/1/2010,Annually
2010,Total,Total,212262583.5,Total : Total,1/1/2010,Annually
2011,Central,Governmental,8758954.4,Governmental : Central,1/1/2011,Annually
2011,Total,Governmental,23921390.8,Governmental : Total,1/1/2011,Annually
2011,Southern,Commercial,2710535.9,Commercial : Southern,1/1/2011,Annually
2011,Eastern,Agricultural,641088.2,Agricultural : Eastern,1/1/2011,Annually
2011,Central,Others,2944333.2,Others : Central,1/1/2011,Annually
2011,Western,Total,64532315.9,Total : Western,1/1/2011,Annually
2012,Central,Residential,39579900,Residential : Central,1/1/2012,Annually
2012,Eastern,Residential,23545600,Residential : Eastern,1/1/2012,Annually
2012,Central,Governmental,9921200,Governmental : Central,1/1/2012,Annually
2012,Eastern,Commercial,10508100,Commercial : Eastern,1/1/2012,Annually
2012,Western,Commercial,14001500,Commercial : Western,1/1/2012,Annually
2012,Southern,Commercial,3127500,Commercial : Southern,1/1/2012,Annually
2012,Central,Others,3045000,Others : Central,1/1/2012,Annually
2012,Western,Others,2819700,Others : Western,1/1/2012,Annually
2012,Total,Total,240288000,Total : Total,1/1/2012,Annually
2013,Southern,Governmental,2920736.086,Governmental : Southern,1/1/2013,Annually
2013,Total,Commercial,39499621.12,Commercial : Total,1/1/2013,Annually
2013,Western,Others,3056279.969,Others : Western,1/1/2013,Annually
2014,Eastern,Commercial,7992039.75,Commercial : Eastern,1/1/2014,Annually
2014,Total,Others,9653025.404,Others : Total,1/1/2014,Annually
2014,Total,Total,271585215.7,Total : Total,1/1/2014,Annually
2015,Southern,Commercial,4263124.555,Commercial : Southern,1/1/2015,Annually
2015,Western,Others,3486365.174,Others : Western,1/1/2015,Annually
2015,Southern,Total,27218150.31,Total : Southern,1/1/2015,Annually
2016,Eastern,Residential,26926413.72,Residential : Eastern,1/1/2016,Annually
2016,Southern,Residential,17266717.67,Residential : Southern,1/1/2016,Annually
2016,Total,Residential,143212925.2,Residential : Total,1/1/2016,Annually
2016,Eastern,Industrial,33276929.18,Industrial : Eastern,1/1/2016,Annually
2016,Eastern,Governmental,8649552.311,Governmental : Eastern,1/1/2016,Annually
